test_name,C++Kernel,C++E2E,C++7BKernel,C++7BE2E,NumPy,MLX,TensorflowKernel,TensorflowE2E,PyTorchKernel,PyTorchE2E,GaudiKernel,GaudiE2E,Gemmini,NP Speedup Kernel,NP Speedup E2E,MLX Speedup Kernel,MLX Speedup E2E,TF Speedup Kernel,TF Speedup E2E,PT Speedup Kernel,PT Speedup E2E,Gaudi Speedup Kernel ,Gaudi Speedup E2E,Gemmini Speedup Kernel,Gemmini Speedup E2E,C++GemminiKernel,C++GemminiE2E
array_sum,421.599,1300.13,,,882.9226092,2567.802833,3210.096881,4434.019502,387.9737684,2911.940721,574.713,9323.408,48.69,0.4775039122,1.472529966,0.1641866714,0.5063200272,0.1313352885,0.2932170234,1.086668828,0.4464823032,0.7335818052,0.1394479358,0.00002053809817,0.00009652906141,0.001,0.0047
cube_in_place,5379.13,6257.86,,,1097.261494,3137.769947,8050.88753,9151.690309,343.1734416,4789.321002,37.93,8538.041,,4.902322765,5.703161949,1.714316247,1.994365459,0.6681412428,0.6837928065,15.67466869,1.306627807,141.817295,0.7329386214,,,,
fourth_in_place,5741.04,6724.21,,,1642.244154,3479.025188,11243.99598,12205.84738,632.3436337,4766.009433,37.907,8533.019,,3.495850471,4.094525154,1.650186386,1.932785662,0.5105871621,0.5509007112,9.078987586,1.410867959,151.4506556,0.7880223869,,,,
sum_elts,473.779,1508.57,,,884.4908791,2489.923021,3228.252209,4097.196629,408.3129553,3003.007407,574.713,9323.408,48.69,0.5356516514,1.705580053,0.1902785733,0.6058701362,0.1467602186,0.3681956559,1.160333009,0.5023530733,0.8243749489,0.1618045676,0.0000123228589,0.00006572191415,0.0006,0.0032
Average simpl_array per backend,,,,,,,,,,,,,,4.054501396,5.096467202,1.178214625,1.508099784,0.6223452184,0.6653544489,9.853247777,1.024267286,90.31494274,0.5201574768,0.00001643047854,0.00008112548778,,
GMean simpl_array per backend,,,,,,,,,,,,,,2.165400407,3.741782393,0.7188636407,1.242186574,0.4048928022,0.5661881746,5.251821239,0.9033649379,18.27071684,0.3992654871,0.00001590874244,0.00007964969985,,
utdsp,,,,,,,,,,,,,,,,,,,,,,,,,,,
fir_small,933.543,3526.71,,,1823.684975,2876.149841,8032.650785,9682.663077,527.2584051,5575.344117,621.048,10076.938,182.82,0.5118992659,1.933837284,0.3245807943,1.22619133,0.1162185467,0.3642293419,1.77056068,0.6325546776,1.503173668,5.678643197,0.000008751777705,0.0000415709441,0.0016,0.0076
lmsfir1,878.376,3278.94,,,1769.260909,2857.186125,8044.048168,9488.35951,705.0802234,5390.972841,621.048,10076.938,182.82,0.4964649337,1.853282341,0.3074269444,1.147611621,0.1091957658,0.3455750171,1.245781644,0.6082278833,1.414344785,5.279688526,0.00001476862488,0.00004430587463,0.0027,0.0081
lmsfir2,4943.58,7458.39,,,1218.503064,2989.761146,9169.234608,10634.59678,467.8907618,7153.735759,76.12,9445,4633.71,4.057092795,6.120944807,1.653503326,2.494644099,0.5391485998,0.7013326557,10.56567131,1.042586734,64.94456122,97.9820021,0.003149528132,0.003358755727,14.594,15.5635
